theta,cp
0.000000,-0.489572
5.000000,-0.497070
10.000000,-0.504985
15.000000,-0.519910
20.000000,-0.535043
25.000000,-0.552302
30.000000,-0.574922
35.000000,-0.598007
40.000000,-0.627177
45.000000,-0.656347
50.000000,-0.685919
55.000000,-0.720985
60.000000,-0.756052
65.000000,-0.792917
70.000000,-0.833925
75.000000,-0.873951
80.000000,-0.904113
85.000000,-0.934275
90.000000,-0.937838
95.000000,-0.923770
100.000000,-0.872132
105.000000,-0.811034
110.000000,-0.719503
115.000000,-0.608750
120.000000,-0.481527
125.000000,-0.344631
130.000000,-0.169675
135.000000,0.006969
140.000000,0.191193
145.000000,0.377056
150.000000,0.551673
155.000000,0.717008
160.000000,0.876275
165.000000,1.014400
170.000000,1.109898
175.000000,1.167075
180.000000,1.202673
